"Date","Price","Open","High","Low","Vol.","Change %"
"05/19/2021","45,353","48,481","48,794","45,197","318.43K","-6.45%"
"05/18/2021","48,481","48,872","48,950","48,481","380.97K","-0.64%"
"05/17/2021","48,794","48,168","49,107","48,168","466.78K","1.46%"
"05/14/2021","48,090","48,247","48,325","46,135","496.70K","-0.49%"
"05/13/2021","48,325","49,107","49,420","48,325","439.54K","-2.06%"
"05/12/2021","49,341","49,654","49,654","49,341","449.00K","-0.32%"
"05/11/2021","49,498","49,498","49,576","49,029","444.66K","0.16%"
"05/10/2021","49,420","49,654","49,654","49,107","349.13K","-0.31%"
"05/07/2021","49,576","50,983","50,983","48,012","381.10K","-2.46%"
"05/06/2021","50,827","51,140","51,453","50,514","284.03K","-0.61%"
"05/05/2021","51,140","49,654","51,296","49,654","552.21K","3.15%"
"05/04/2021","49,576","48,716","49,811","47,699","431.61K","0.64%"
"04/29/2021","49,263","48,403","49,811","48,403","592.75K","1.78%"
"04/28/2021","48,403","47,934","49,107","47,699","516.01K","1.48%"
"04/27/2021","47,699","46,526","47,699","46,135","723.44K","2.52%"
"04/26/2021","46,526","47,074","47,074","45,275","582.00K","-1.16%"
"04/23/2021","47,074","46,214","47,074","46,135","429.56K","2.04%"
"04/22/2021","46,135","47,699","48,168","46,135","480.21K","-3.28%"
"04/20/2021","47,699","48,403","48,872","47,699","501.05K","-1.45%"
"04/19/2021","48,403","48,090","48,481","46,917","368.56K","0.65%"
"04/16/2021","48,090","48,872","48,872","47,699","391.20K","-1.60%"
"04/15/2021","48,872","48,168","48,872","47,308","573.82K","1.63%"
"04/14/2021","48,090","49,263","49,263","47,308","455.40K","-2.38%"
"04/13/2021","49,263","49,263","49,420","48,950","462.69K","0.00%"
"04/12/2021","49,263","49,263","49,420","48,950","538.01K","-0.16%"
"04/09/2021","49,341","49,263","49,420","46,917","535.07K","0.16%"
"04/08/2021","49,263","49,185","49,263","48,872","463.33K","0.00%"
"04/07/2021","49,263","49,576","49,576","48,325","398.11K","-0.63%"
"04/06/2021","49,576","51,062","51,062","48,872","520.75K","-2.91%"
"04/05/2021","51,062","51,140","51,218","50,202","507.45K","-0.30%"
"04/02/2021","51,218","50,827","51,453","50,592","414.35K","0.77%"
"04/01/2021","50,827","49,263","50,905","49,263","528.68K","3.17%"
"03/31/2021","49,263","48,481","49,811","48,325","444.78K","1.61%"
"03/30/2021","48,481","50,202","50,358","47,543","535.71K","-3.43%"
"03/29/2021","50,202","50,827","50,827","49,654","421.89K","-1.23%"
"03/26/2021","50,827","47,699","50,827","47,699","423.94K","1.24%"
"03/25/2021","50,202","47,699","50,436","45,353","620.11K","4.39%"
"03/24/2021","48,090","48,872","48,872","47,308","438.01K","-2.38%"
"03/23/2021","49,263","49,732","50,045","48,481","463.58K","-2.33%"
"03/22/2021","50,436","52,078","52,078","49,654","389.66K","-3.73%"
"03/19/2021","52,391","52,391","52,391","50,436","489.67K","-0.74%"
"03/18/2021","52,782","51,609","53,095","50,827","442.86K","0.75%"
"03/17/2021","52,391","51,609","52,704","48,090","496.32K","3.08%"
"03/16/2021","50,827","51,982","52,521","49,672","481.74K","-2.80%"
"03/15/2021","52,290","52,752","52,752","51,058","481.49K","-1.45%"
"03/12/2021","53,060","52,752","53,060","51,597","411.41K","-0.86%"
"03/11/2021","53,522","51,982","53,522","49,518","494.66K","2.96%"
"03/10/2021","51,982","53,830","53,830","50,442","297.08K","-3.43%"
"03/09/2021","53,830","53,522","53,830","51,212","271.24K","0.00%"
"03/08/2021","53,830","53,907","53,907","50,442","401.43K","0.72%"
"03/05/2021","53,445","48,363","53,522","48,363","391.46K","2.97%"
"03/04/2021","51,905","55,525","55,525","51,905","220.22K","-6.91%"
"03/03/2021","55,756","55,679","55,756","53,137","321.12K","0.14%"
"03/02/2021","55,679","55,910","56,064","54,061","289.79K","-0.41%"
"03/01/2021","55,910","53,137","55,910","49,441","571.90K","5.22%"
